Model,Dataset,N,K,Rep,X_bounds,initevals,maxgenomelen,maxcohortlen,Time,Rsq_train,Rsq_test
FFX,659_sleuth_ex1714,47,7,0,,,30,7,4.230298042297363,0.9980315706160608,-2.909928623220424
PySR,659_sleuth_ex1714,47,7,0,,,30,7,12.275431871414185,0.9078553714694176,0.7440196938829546
PySR,659_sleuth_ex1714,47,7,1,,,30,7,4.041307210922241,0.9153331438302212,0.7218551443908559
PySR,659_sleuth_ex1714,47,7,2,,,30,7,4.150429010391235,0.9088433541394944,0.9083308706652468
PySR,659_sleuth_ex1714,47,7,3,,,30,7,4.138113975524902,0.9278861370407094,0.7618914820645283
PySR,659_sleuth_ex1714,47,7,4,,,30,7,4.112723350524902,0.9358178372949648,0.7566612131283977
Magpie,659_sleuth_ex1714,47,7,0,,1000.0,30,7,77.21671605110168,0.8483497158317853,0.7293955131115586
Magpie,659_sleuth_ex1714,47,7,1,,1000.0,30,7,63.10885500907898,0.6566087111264827,0.9203369035677068
Magpie,659_sleuth_ex1714,47,7,2,,1000.0,30,7,71.77416324615479,0.8796383323074528,0.8558434139274637
Magpie,659_sleuth_ex1714,47,7,3,,1000.0,30,7,73.9889509677887,0.8856204866282377,0.878690491203323
Magpie,659_sleuth_ex1714,47,7,4,,1000.0,30,7,59.46096587181091,0.4765970398441177,-1000000.0
Magpie,659_sleuth_ex1714,47,7,0,train,1000.0,30,7,71.42434787750244,0.848349723971378,0.7293954830654863
Magpie,659_sleuth_ex1714,47,7,1,train,1000.0,30,7,80.53199291229248,0.7131075827432709,0.8773122105179854
Magpie,659_sleuth_ex1714,47,7,2,train,1000.0,30,7,104.9166271686554,0.8895596338899832,0.8590742613667737
Magpie,659_sleuth_ex1714,47,7,3,train,1000.0,30,7,49.93324971199035,0.8609606797252549,0.7407178984477882
Magpie,659_sleuth_ex1714,47,7,4,train,1000.0,30,7,65.37910509109497,0.8891907009434667,0.7983612104327931
Magpie,659_sleuth_ex1714,47,7,0,test,1000.0,30,7,71.41840696334839,0.2643284670549171,0.4770911149463995
Magpie,659_sleuth_ex1714,47,7,1,test,1000.0,30,7,50.00904965400696,0.7131075837414957,0.8773122119355212
Magpie,659_sleuth_ex1714,47,7,2,test,1000.0,30,7,78.42112398147583,0.8944793416211325,0.5068345148429887
Magpie,659_sleuth_ex1714,47,7,3,test,1000.0,30,7,60.26120114326477,0.4892763000657947,0.805697759378266
Magpie,659_sleuth_ex1714,47,7,4,test,1000.0,30,7,87.84484624862671,0.6788149251683522,0.8167313000515167
Magpie,659_sleuth_ex1714,47,7,0,,5000.0,30,7,53.89829516410827,0.8849876158911585,0.8589971725969182
Magpie,659_sleuth_ex1714,47,7,1,,5000.0,30,7,29.53331995010376,0.7134495173534936,0.8762924483072123
Magpie,659_sleuth_ex1714,47,7,2,,5000.0,30,7,67.12958121299744,0.8823044373710882,0.8293986746720774
Magpie,659_sleuth_ex1714,47,7,3,,5000.0,30,7,44.24304986000061,0.7022921025270298,0.8694148007384046
Magpie,659_sleuth_ex1714,47,7,4,,5000.0,30,7,49.17389178276062,0.4765970400736642,-1000000.0
Magpie,659_sleuth_ex1714,47,7,0,train,5000.0,30,7,30.126889944076535,0.8691788140040851,0.8485650637016674
Magpie,659_sleuth_ex1714,47,7,1,train,5000.0,30,7,27.273826837539673,0.7134495161945263,0.8762924469038597
Magpie,659_sleuth_ex1714,47,7,2,train,5000.0,30,7,56.48847198486328,0.8309332807112412,0.881062789661699
Magpie,659_sleuth_ex1714,47,7,3,train,5000.0,30,7,47.922494888305664,0.7022921026146232,0.8694147994053367
Magpie,659_sleuth_ex1714,47,7,4,train,5000.0,30,7,35.83886218070984,0.4765970405894041,-1000000.0
Magpie,659_sleuth_ex1714,47,7,0,test,5000.0,30,7,39.831307888031006,0.8987783157669919,0.8766847292315452
Magpie,659_sleuth_ex1714,47,7,1,test,5000.0,30,7,42.695724964141846,0.631912267920939,0.956765097068002
Magpie,659_sleuth_ex1714,47,7,2,test,5000.0,30,7,44.37562394142151,0.8461656231278537,0.6861157982918009
Magpie,659_sleuth_ex1714,47,7,3,test,5000.0,30,7,43.125651836395264,0.7001966136778575,0.8797825208067351
Magpie,659_sleuth_ex1714,47,7,4,test,5000.0,30,7,49.04601311683655,0.6397370179715645,0.6231872277250707
Magpie,659_sleuth_ex1714,47,7,0,,10000.0,30,7,39.017834186553955,0.8753741963102527,0.871126463967704
Magpie,659_sleuth_ex1714,47,7,1,,10000.0,30,7,34.162134885787964,0.7131075832645705,0.8773122113440874
Magpie,659_sleuth_ex1714,47,7,2,,10000.0,30,7,34.99836492538452,0.8822909905904689,-1000000.0
Magpie,659_sleuth_ex1714,47,7,3,,10000.0,30,7,40.19156002998352,0.7022921025302988,0.8694148006886535
Magpie,659_sleuth_ex1714,47,7,4,,10000.0,30,7,45.24759769439697,0.4765970401697106,-1000000.0
Magpie,659_sleuth_ex1714,47,7,0,train,10000.0,30,7,34.95193290710449,0.8789117757939798,0.8732424573695652
Magpie,659_sleuth_ex1714,47,7,1,train,10000.0,30,7,31.076210021972656,0.7130636508217663,0.8766417830175772
Magpie,659_sleuth_ex1714,47,7,2,train,10000.0,30,7,30.766751050949097,0.8017179480179089,0.7602095773252844
Magpie,659_sleuth_ex1714,47,7,3,train,10000.0,30,7,50.225992918014526,0.702292102559704,0.8694148002411409
Magpie,659_sleuth_ex1714,47,7,4,train,10000.0,30,7,26.828710079193115,0.4765970400905889,-1000000.0
Magpie,659_sleuth_ex1714,47,7,0,test,10000.0,30,7,40.78906488418579,0.4892931541701529,0.8059349174105401
Magpie,659_sleuth_ex1714,47,7,1,test,10000.0,30,7,29.469913005828857,0.713063649991204,0.8766417825514085
Magpie,659_sleuth_ex1714,47,7,2,test,10000.0,30,7,25.495332717895508,0.8344447975001015,0.830758970736378
Magpie,659_sleuth_ex1714,47,7,3,test,10000.0,30,7,39.62079906463623,0.702292102654012,0.869414798805886
Magpie,659_sleuth_ex1714,47,7,4,test,10000.0,30,7,24.14357614517212,0.6397370187204132,0.6231872284445146
FFX,485_analcatdata_vehicle,48,4,0,,,30,7,14.609251976013184,0.9416368661243232,0.4275433970739718
PySR,485_analcatdata_vehicle,48,4,0,,,30,7,5.585222005844116,0.8653478101374162,0.6167089011049554
PySR,485_analcatdata_vehicle,48,4,1,,,30,7,4.013956785202026,0.8708134606259375,0.4900653918225046
PySR,485_analcatdata_vehicle,48,4,2,,,30,7,4.06143593788147,0.8791407458062477,0.5003630538655346
PySR,485_analcatdata_vehicle,48,4,3,,,30,7,3.936570167541504,0.8833069970748839,0.5709880606545887
PySR,485_analcatdata_vehicle,48,4,4,,,30,7,4.121703147888184,0.8716672406877486,0.6742819326269708
Magpie,485_analcatdata_vehicle,48,4,0,,1000.0,30,7,51.7338330745697,0.6171271560157994,0.614974404112512
Magpie,485_analcatdata_vehicle,48,4,1,,1000.0,30,7,91.8678982257843,0.7495798598820347,0.5541373354856194
Magpie,485_analcatdata_vehicle,48,4,2,,1000.0,30,7,43.54600691795349,0.5135513452479145,0.5675488560425634
Magpie,485_analcatdata_vehicle,48,4,3,,1000.0,30,7,60.32625675201416,0.8203962345972803,0.4900278223135691
Magpie,485_analcatdata_vehicle,48,4,4,,1000.0,30,7,58.16903281211853,0.798513292635575,0.5152541145047995
Magpie,485_analcatdata_vehicle,48,4,0,train,1000.0,30,7,71.18784618377686,0.7993816507728135,0.5035029697001657
Magpie,485_analcatdata_vehicle,48,4,1,train,1000.0,30,7,72.06556415557861,0.8195644453396245,0.5817097395356788
Magpie,485_analcatdata_vehicle,48,4,2,train,1000.0,30,7,50.39103794097901,0.5135513444191389,0.5675488565587297
Magpie,485_analcatdata_vehicle,48,4,3,train,1000.0,30,7,45.76523017883301,0.7877052650462608,0.5679528919855726
Magpie,485_analcatdata_vehicle,48,4,4,train,1000.0,30,7,47.92741918563843,0.8024410348496839,0.430103678014224
Magpie,485_analcatdata_vehicle,48,4,0,test,1000.0,30,7,71.06457805633545,0.7993816507728135,0.5035029697001657
Magpie,485_analcatdata_vehicle,48,4,1,test,1000.0,30,7,71.90160703659058,0.8195644453396245,0.5817097395356788
Magpie,485_analcatdata_vehicle,48,4,2,test,1000.0,30,7,50.23660898208618,0.5135513444191389,0.5675488565587297
Magpie,485_analcatdata_vehicle,48,4,3,test,1000.0,30,7,45.77611494064331,0.7877052650462608,0.5679528919855726
Magpie,485_analcatdata_vehicle,48,4,4,test,1000.0,30,7,47.78517985343933,0.8024410348496839,0.430103678014224
Magpie,485_analcatdata_vehicle,48,4,0,,5000.0,30,7,42.63356804847717,0.656337838127746,0.6684140794808835
Magpie,485_analcatdata_vehicle,48,4,1,,5000.0,30,7,57.409395933151245,0.7852724413225418,0.5762626302595852
Magpie,485_analcatdata_vehicle,48,4,2,,5000.0,30,7,42.27489519119263,0.5135513442819395,0.567548856449301
Magpie,485_analcatdata_vehicle,48,4,3,,5000.0,30,7,49.755126953125,0.6032408357922254,0.5884001815925111
Magpie,485_analcatdata_vehicle,48,4,4,,5000.0,30,7,52.44027876853943,0.7948499189626057,0.4675070898001451
Magpie,485_analcatdata_vehicle,48,4,0,train,5000.0,30,7,48.316240310668945,0.7844234993485926,0.495670889442292
Magpie,485_analcatdata_vehicle,48,4,1,train,5000.0,30,7,38.20312690734863,0.7499158905131197,0.5543490947951025
