Model,Dataset,N,K,Rep,X_bounds,initevals,maxgenomelen,maxcohortlen,Time,Rsq_train,Rsq_test
FFX,659_sleuth_ex1714,47,7,0,,,30,7,4.230298042297363,0.9980315706160608,-2.909928623220424
PySR,659_sleuth_ex1714,47,7,0,,,30,7,12.275431871414185,0.9078553714694176,0.7440196938829546
PySR,659_sleuth_ex1714,47,7,1,,,30,7,4.041307210922241,0.9153331438302212,0.7218551443908559
PySR,659_sleuth_ex1714,47,7,2,,,30,7,4.150429010391235,0.9088433541394944,0.9083308706652468
PySR,659_sleuth_ex1714,47,7,3,,,30,7,4.138113975524902,0.9278861370407094,0.7618914820645283
PySR,659_sleuth_ex1714,47,7,4,,,30,7,4.112723350524902,0.9358178372949648,0.7566612131283977
FFX,485_analcatdata_vehicle,48,4,0,,,30,7,14.609251976013184,0.9416368661243232,0.4275433970739718
PySR,485_analcatdata_vehicle,48,4,0,,,30,7,5.585222005844116,0.8653478101374162,0.6167089011049554
PySR,485_analcatdata_vehicle,48,4,1,,,30,7,4.013956785202026,0.8708134606259375,0.4900653918225046
PySR,485_analcatdata_vehicle,48,4,2,,,30,7,4.06143593788147,0.8791407458062477,0.5003630538655346
PySR,485_analcatdata_vehicle,48,4,3,,,30,7,3.936570167541504,0.8833069970748839,0.5709880606545887
PySR,485_analcatdata_vehicle,48,4,4,,,30,7,4.121703147888184,0.8716672406877486,0.6742819326269708
FFX,1096_FacultySalaries,50,4,0,,,30,7,4.2869791984558105,0.9978062135454028,-4.399211810544333
PySR,1096_FacultySalaries,50,4,0,,,30,7,4.681328773498535,0.8547987102423801,0.9378993276797396
PySR,1096_FacultySalaries,50,4,1,,,30,7,3.778416872024536,0.918675098760747,0.8112705759853585
PySR,1096_FacultySalaries,50,4,2,,,30,7,3.756456851959229,0.8586220920585512,0.920267257194846
PySR,1096_FacultySalaries,50,4,3,,,30,7,3.8419981002807617,0.933702346165358,0.911460757589758
PySR,1096_FacultySalaries,50,4,4,,,30,7,3.841985940933227,0.9612301078908336,0.9237818438880704
FFX,687_sleuth_ex1605,62,5,0,,,30,7,6.481053829193115,0.9983721199694976,-2.699620119539483
PySR,687_sleuth_ex1605,62,5,0,,,30,7,6.557794094085693,0.7472841870376329,0.2696085752539758
PySR,687_sleuth_ex1605,62,5,1,,,30,7,4.86338472366333,0.7472841865276418,0.2696175022139362
PySR,687_sleuth_ex1605,62,5,2,,,30,7,5.138553857803345,0.706836416140343,0.3517509918338453
PySR,687_sleuth_ex1605,62,5,3,,,30,7,4.837323904037476,0.7472841754504287,0.2696110866698826
PySR,687_sleuth_ex1605,62,5,4,,,30,7,4.568624019622803,0.7472838566510309,0.2698098741486069
FFX,706_sleuth_case1202,93,6,0,,,30,7,15.596206903457642,0.9967030449432632,-246.74401564745511
PySR,706_sleuth_case1202,93,6,0,,,30,7,6.829422950744629,0.7484142615509466,0.7373425511924281
PySR,706_sleuth_case1202,93,6,1,,,30,7,4.6040167808532715,0.7484142607329719,0.7373399640999183
PySR,706_sleuth_case1202,93,6,2,,,30,7,4.392294883728027,0.7263663512566398,0.686638272007998
PySR,706_sleuth_case1202,93,6,3,,,30,7,4.831180095672607,0.7484141882021098,0.737355097545338
PySR,706_sleuth_case1202,93,6,4,,,30,7,4.809314012527466,0.7484142599543451,0.7373312155952487
FFX,210_cloud,108,5,0,,,30,7,6.799992084503174,0.976200250088845,0.8174906623627642
PySR,210_cloud,108,5,0,,,30,7,6.276535749435425,0.9284550064689864,0.6347193822763669
PySR,210_cloud,108,5,1,,,30,7,4.644395112991333,0.9398248492913288,0.5735291822889033
PySR,210_cloud,108,5,2,,,30,7,4.641863107681274,0.9398248494221392,0.5735417595631325
PySR,210_cloud,108,5,3,,,30,7,4.239354133605957,0.9396768240280658,0.5730129263144296
PySR,210_cloud,108,5,4,,,30,7,4.19242000579834,0.9400565246642424,0.5772106293666424
FFX,678_visualizing_environmental,111,3,0,,,30,7,4.549771070480347,0.7630509543259689,-36.48312112508536
PySR,678_visualizing_environmental,111,3,0,,,30,7,7.0143210887908936,0.3311181895278083,0.4201696180417089
PySR,678_visualizing_environmental,111,3,1,,,30,7,4.776169300079346,0.3311182175663816,0.4201924258757905
PySR,678_visualizing_environmental,111,3,2,,,30,7,4.796107053756714,0.3311182175635121,0.420192204662794
PySR,678_visualizing_environmental,111,3,3,,,30,7,4.994805097579956,0.3311182176250513,0.4201911013133397
PySR,678_visualizing_environmental,111,3,4,,,30,7,4.553838014602661,0.331118217625082,0.4201911135389845
FFX,665_sleuth_case2002,147,6,0,,,30,7,11.884310007095335,0.8816844807019328,-6.231816555081265
PySR,665_sleuth_case2002,147,6,0,,,30,7,7.212814092636108,0.3678427716211051,0.0751870845319815
PySR,665_sleuth_case2002,147,6,1,,,30,7,4.939976215362549,0.5797366687825968,0.2644430378532744
PySR,665_sleuth_case2002,147,6,2,,,30,7,4.715198993682861,0.3678427782064135,0.0751576686953571
PySR,665_sleuth_case2002,147,6,3,,,30,7,5.042523145675659,0.3678427783170309,0.0751449247046718
PySR,665_sleuth_case2002,147,6,4,,,30,7,4.984472990036011,0.435753778574907,0.1729301483803773
FFX,230_machine_cpu,209,6,0,,,30,7,10.858011722564695,0.9872229996855496,0.4186493317145938
PySR,230_machine_cpu,209,6,0,,,30,7,8.308974027633667,0.965157472160314,0.9446141714194116
PySR,230_machine_cpu,209,6,1,,,30,7,4.8584630489349365,0.9408435430476272,0.8066030023880698
PySR,230_machine_cpu,209,6,2,,,30,7,4.850977897644043,0.9614041392542496,0.9515297577463646
PySR,230_machine_cpu,209,6,3,,,30,7,5.281130075454712,0.9442891822631412,0.9211286658109542
PySR,230_machine_cpu,209,6,4,,,30,7,6.24880313873291,0.9408433847363568,0.8066074476809099
FFX,561_cpu,209,7,0,,,30,7,2.4566030502319336,0.9944770203736152,0.9668600350900604
PySR,561_cpu,209,7,0,,,30,7,6.5563249588012695,0.9961861385665544,0.9651654966012256
PySR,561_cpu,209,7,1,,,30,7,5.040572166442871,0.9938769382878428,0.9248836701853697
PySR,561_cpu,209,7,2,,,30,7,4.9472880363464355,0.991676605601985,0.984687488363342
PySR,561_cpu,209,7,3,,,30,7,5.570109128952026,0.9969689122268268,0.9507753784076988
PySR,561_cpu,209,7,4,,,30,7,5.20221209526062,0.9969844757006076,0.9571693566729412
