,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
0,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,63.97471404075623,0.8396963497496026,0.9046351445680134,21,1,3,((-16.2284 + X[5]) / (-0.0079 - (-0.0056 * sqrt(sqrt(sqrt(X[5]))))))
1,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,72.35728478431702,0.8857688961091938,0.8683481901202639,26,3,3,(7665.0224 + (X[5] * ((528.6628 + X[1]) + (-1423.4539 / (X[0] - X[5])))))
2,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,74.00972580909729,0.8868847043798902,0.9007329190498689,27,2,4,(11605.5308 - ((sqrt(X[5]) + -2.8149) / ((0.0000 * (X[5] * X[1])) + -0.0005)))
3,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,75.47468400001526,0.7872807257148806,0.9498791537884784,20,2,2,((7188.4039 + (-7987.7510 / (X[0] - X[5]))) * sqrt(sqrt(X[5])))
4,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,53.41538190841675,0.5401546745708796,0.4032478265254953,7,1,1,(4083.0325 * sqrt(X[5]))
5,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,59.80806136131287,0.5556892937474419,0.396173294180717,7,1,1,(sqrt(X[5]) / 0.0002)
6,659_sleuth_ex1714,47,7,2,Magpie,30,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,86.53621864318848,0.5556892940760758,0.3961732933816737,7,1,1,(4179.6088 * sqrt(X[5]))
7,659_sleuth_ex1714,47,7,1,Magpie,30,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,90.5721514225006,0.7872807259925587,0.9498791531438404,20,2,2,((7188.4040 - (-7987.7512 / (X[5] - X[0]))) * sqrt(sqrt(X[5])))
8,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,93.53123378753662,0.2746357217104822,0.5274697926177592,8,1,1,(18620.7551 / sqrt(sqrt(X[1])))
9,659_sleuth_ex1714,47,7,0,Magpie,30,8,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,94.4903826713562,0.8727665562089898,0.8334379158255606,29,3,3,((sqrt(X[1]) * ((X[5] * (9.8309 * (X[5] + sqrt(sqrt(X[2]))))) - 986.1646)) + 12027.5852)
